fips,state,county,year,type,class,democratic,republican,other,total,democratic_pct,republican_pct,other_pct
01001,Alabama,Autauga County,2024,presidential,,7439,20484,358,28281,26.303878929316504,72.430253527103,1.2658675435804958
01003,Alabama,Baldwin County,2024,presidential,,24934,95798,1517,122249,20.396076859524413,78.36301319438196,1.2409099460936286
01005,Alabama,Barbour County,2024,presidential,,4158,5606,91,9855,42.19178082191781,56.884830035514966,0.9233891425672247
01007,Alabama,Bibb County,2024,presidential,,1619,7572,66,9257,17.489467430052933,81.79755860429945,0.7129739656476181
01009,Alabama,Blount County,2024,presidential,,2576,25354,233,28163,9.146752831729573,90.02592053403401,0.8273266342364095
01011,Alabama,Bullock County,2024,presidential,,2983,1101,27,4111,72.56142057893456,26.78180491364631,0.6567745074191195
01013,Alabama,Butler County,2024,presidential,,3251,5172,57,8480,38.3372641509434,60.990566037735846,0.6721698113207547
01015,Alabama,Calhoun County,2024,presidential,,13194,34912,547,48653,27.118574394179184,71.75713727827677,1.1242883275440363
01017,Alabama,Chambers County,2024,presidential,,5405,8711,129,14245,37.94313794313794,61.151281151281154,0.9055809055809055
01019,Alabama,Cherokee County,2024,presidential,,1553,11358,95,13006,11.940642780255267,87.32892511148701,0.7304321082577272
01021,Alabama,Chilton County,2024,presidential,,2698,16920,145,19763,13.651773516166573,85.61453220664879,0.733694277184638
01023,Alabama,Choctaw County,2024,presidential,,2515,4103,38,6656,37.785456730769226,61.643629807692314,0.5709134615384615
01025,Alabama,Clarke County,2024,presidential,,4927,6965,66,11958,41.20254223114233,58.24552600769359,0.5519317611640743
01027,Alabama,Clay County,2024,presidential,,993,5734,40,6767,14.674153982562435,84.7347421309295,0.5911038865080538
01029,Alabama,Cleburne County,2024,presidential,,605,6988,58,7651,7.9074630767219976,91.33446608286498,0.7580708404130179
01031,Alabama,Coffee County,2024,presidential,,4601,17495,223,22319,20.614722881849545,78.3861284107711,0.9991487073793629
01033,Alabama,Colbert County,2024,presidential,,7137,19714,309,27160,26.27761413843888,72.58468335787923,1.137702503681885
01035,Alabama,Conecuh County,2024,presidential,,2580,3423,48,6051,42.63758056519584,56.56916212196331,0.7932573128408527
01037,Alabama,Coosa County,2024,presidential,,1478,3758,32,5268,28.056188306757786,71.33637053910402,0.6074411541381929
01039,Alabama,Covington County,2024,presidential,,2314,14677,104,17095,13.536121673003803,85.8555133079848,0.6083650190114068
01041,Alabama,Crenshaw County,2024,presidential,,1457,5000,29,6486,22.463768115942027,77.08911501695961,0.4471168670983657
01043,Alabama,Cullman County,2024,presidential,,4039,38704,403,43146,9.361238585268623,89.7047234969638,0.9340379177675798
01045,Alabama,Dale County,2024,presidential,,4484,14476,179,19139,23.42860128533361,75.63613563927059,0.9352630753957887
01047,Alabama,Dallas County,2024,presidential,,10236,5190,121,15547,65.83906863060398,33.382646169679035,0.7782851997169872
01049,Alabama,DeKalb County,2024,presidential,,3758,25633,269,29660,12.670262980445044,86.42279163857046,0.906945380984491
01051,Alabama,Elmore County,2024,presidential,,9774,31374,476,41624,23.481645204689602,75.37478377858928,1.1435710167211224
01053,Alabama,Escambia County,2024,presidential,,3964,10884,109,14957,26.502640903924586,72.76860332954469,0.7287557665307214
01055,Alabama,Etowah County,2024,presidential,,10027,35653,457,46137,21.73309924789215,77.27637254264474,0.9905282094631207
01057,Alabama,Fayette County,2024,presidential,,1142,7158,69,8369,13.645596845501254,85.52993189150436,0.824471262994384
01059,Alabama,Franklin County,2024,presidential,,1568,10417,112,12097,12.961891378027609,86.11225923782756,0.9258493841448292
01061,Alabama,Geneva County,2024,presidential,,1391,10929,81,12401,11.216837351826465,88.12998951697443,0.6531731311990968
01063,Alabama,Greene County,2024,presidential,,3133,885,21,4039,77.56870512503095,21.91136419905917,0.5199306759098787
01065,Alabama,Hale County,2024,presidential,,3868,3369,68,7305,52.950034223134836,46.11909650924025,0.9308692676249144
01067,Alabama,Henry County,2024,presidential,,2263,6989,68,9320,24.281115879828327,74.9892703862661,0.7296137339055794
01069,Alabama,Houston County,2024,presidential,,11352,32469,528,44349,25.596969491984034,73.21247378745856,1.190556720557397
01071,Alabama,Jackson County,2024,presidential,,3276,20073,207,23556,13.90728476821192,85.21395822720325,0.8787570045848191
01073,Alabama,Jefferson County,2024,presidential,,162112,131123,5469,298704,54.27178745513953,43.89730301569447,1.8309095291659971
01075,Alabama,Lamar County,2024,presidential,,806,6033,51,6890,11.69811320754717,87.56168359941945,0.7402031930333817
01077,Alabama,Lauderdale County,2024,presidential,,10326,32708,603,43637,23.663404908678416,74.95474024337145,1.3818548479501342
01079,Alabama,Lawrence County,2024,presidential,,2983,13024,115,16122,18.502667162883014,80.78402183351942,0.7133110035975686
01081,Alabama,Lee County,2024,presidential,,25798,46020,1309,73127,35.27835136133029,62.93161212684781,1.7900365118218988
01083,Alabama,Limestone County,2024,presidential,,14581,37887,864,53332,27.34005850146254,71.03990099752494,1.6200405010125252
01085,Alabama,Lowndes County,2024,presidential,,3867,1758,30,5655,68.38196286472149,31.087533156498676,0.5305039787798408
01087,Alabama,Macon County,2024,presidential,,6084,1682,68,7834,77.66147561909624,21.470513147817208,0.8680112330865458
01089,Alabama,Madison County,2024,presidential,,87824,105430,4363,197617,44.44152071937131,53.35067327203631,2.207806008592378
01091,Alabama,Marengo County,2024,presidential,,4631,4995,56,9682,47.831026647386906,51.590580458582934,0.578392894030159
01093,Alabama,Marion County,2024,presidential,,1197,12245,101,13543,8.83851436166285,90.41571291442074,0.7457727239164145
